Name,Address,Pin,Phone,Mobile,Email,Website,Contact Person,Purpose,Aim/Objective
"Abundant Life Ministries, Mumbai","27/A Chapel Road, BAndhra West
Mumbai","400050
Maharashtra",91-22-26404808,,alm@vsnl.com,http://www.ali21c.org,Dr. Jerry J. DSouza,Social,"To provide the basic needs of man i.e. food, clothing and shelter amongst the poorest of the poor"
"Academy for Mobilising Urban Rural Action through Education, Mumbai","17 Fatimabai Building, Marine Street, Dhobi Talao
Mumbai","400002
Maharashtra","91-22-6436299, 022-6160877",,amrae@bol.net.in,,Sachin Fernandes,"Child welfare, Development(General), Education, Health, Human Rights, Rural Development, Sanitation, Sustainable Development, Urban Development, Women’s issues","AAMRAE is an indigenous and unconventional NGO with a mission to empower the poor by working on issues of development, both in rural and urban areas. The major thrust is on vulnerable and disadvantaged women and children. For reading its goal programmes undertaken are all community based with focus on preventive and rehabilitative aspects"
"ACASH, Mumbai","2nd Floor, 417 S V P Road, Girgaum
Mumbai","400004
Maharashtra","91-22-3886556, 91-22-3887340",,acashorg@vsnl.com,,Yogini Mishra,"Child welfare, Consumer issues, Education, Environment, Food and Nutrition, Health, Human Rights, Media, Training, Women’s issues","ACASH works to inform, educate and organise consumers so as to enable them to secure, protect and preserve their interests and assert their rights as consumers of goods and services pertaining to health and safety, including but not restricted to pharmaceutical drugs, medical services,tobacco and other harmful substances, water, cosmetics, etc"
"Acil Navasarjan Rural Development Foundation, Mahim","409 New Udyog Mandir, No 2 Moghul lane
Mahim (West)","400016
Maharashtra","91-22-4469341, 022-4452573",,anardefoundation@vsnl.net,,Margarida Crasto,"Education, Employment, Environment, Health, Micro-enterprises, Poverty, Rural Development, Sanitation, Training, Urban Development, Water, Women’s issues","Our aim is integrated Development. We have a social base and human face. Our aim is to spread out in all the states in India and to reach out to the poor families, substantially increase their income and upgrade their Quality of Life. This can be achieved by empowerment of women, upgrading the skills of the youth through training. Watershed development healthcare and other activities which would benefit the community at large"
"Acorn Foundation, Mumbai","49/2359, BAndhra Shri Sai Kripa Society, 2nd Floor, Opp M.I.G Club, Gandhinagar
Mumbai","400051
Maharashtra",91-22-26428618,,dharaviproject@gmail.com,http://www.dharaviproject.org,Adv. Vinod Shetty,Community organising,"Organising unorganised workers, focus on ragpickers and waste collectors, recycling industry, hawkers and contract workers"
"Action for Good Governance and Networking in India, Mumbai","Peacock Palace Ground Floor, 69 Bhulabhai Desai Road, Breach Candy
Mumbai","400026
Maharashtra","91-22-3611327, 022-3622492",,agni@bom8.vsnl.net.in,,Kiran Madan,"Law, Local Administration",It aims to return powers to citizens. It fosters working partnership between government and citizens and citizens groups
"Acworth Municipal Hospital for Leprosy, Mumbai","Major Parmeshwaran Road, Wadala
Mumbai","400031
Maharashtra","91-22-4147256, 022-4184236",,acworth_leprosy_hosp@hotmail.com,,Dr Waman Bhatki,Health,"The organisation is dedicated to provide all services to leprosy patients. However, as the scientific knowledge about leprosy and the nature of therapy changed, the organisational structure of ALH changed over last 100 years"
"Adarsh Foundation, Mumbai","Bazme Furkan Madarsa, 68, Bermacell Railway Line, Umarwadi Road, Kurla
Mumbai
Maharashtra
400070", , ,99876 48294,sujatasawant77@gmail.com,,Sujata Sawant,"Child Welfare, Community Development, Women Development/Welfare.","Education, health, women empowerment, community development"
"Aditya Foundation, Mumbai","98, Deepak Drm.B.Raut Rd, Shivajipark, Dadar
Mumbai","400028
Maharashtra",91-22-24463915,,shilpkala9@gmail.com,,Shilpa Deshmukh,Adivasi women and malnourished children.,"Upliftment of women, education for children"
"Adnyan Research & Educational Trust, Mumbai","2/3, Sant Nirankari Bhavan, Naigoan, Dadar East
Mumbai","400014
Maharashtra",91-22-65182134,91-99675 37639,adnyan@hotmail.com,,Vijay S Shetty,Research & education,"To give free education slum & poor, arts & creative larning"
"AICUF – All India Catholic University Federation, Mumbai","St. Xaviers College, Fort
Mumbai","400001
Maharashtra",,,aicufmumbai@gmail.com,,Virgil Sequeira,"Social outreach and action personality development, spiritual growth",We are born in an unjust society and we are determined not to leave it as we have found it
"AIESEC, Mumbai","C/O Godrej Industried Ltd. Gate 2, Eastern Express Highway Vikhroli East
Mumbai","400079
Maharashtra",91-22-25188095,91-98987 98814,gaurav.julka@aiesec.net,http://www.aiesec.in,Gaurav Julka,"Education, health, women empowerment, child development, rural development.","AIESEC?s vision peace and fulfilment of humankind’s potential. AIESEC is a global, non-political, independent, not-for-profit organization run by students and recent graduates of institutions of higher education. Our members are interested in world issues, leadership and management. AIESEC does not discriminate on the basis of race, colour, gender, sexual orientation, creed, religion, national, ethnic or social origin. AIESEC members live an integrated development experience. This involves leadership opportunities, international internships and interacting with a global network to support their development"
"Akanksha Foundation, Mumbai","Voltas House C, T.B. Kadam Marg, Chinchpokli
Mumbai","400033
Maharashtra",91-22-23700253,,hr@akanksha.org,http://www.akanksha.org,Avantika Sinha,Education,"The Akanksha Foundation is a non-profit organization with the vision to one day equip all students with the education, skills and character they need to lead empowered lives. Akanksha works primarily in the field of education, addressing non formal education through the Akanksha centre and also formal education through the Akanksha Schools. Over the past 17 years, the organization has expanded from 15 children in one centre to over 3500 children in 63 centres, 2 Kindergarten centres and 4 schools. A commitment is made to support each child by giving him or her a strong educational foundation, a good time, self esteem and values, and to help them plan how they can earn a steady livelihood as a step towards improving their standard of living"
"AKANKSHAA, Navi Mumbai","B2/01 Nilgiri Gardens, Sector 24 CBD Belapur
Navi Mumbai","400614
Maharashtra",,"91-99699 49208, 91-99679 74391",akankshaa@akankshaa.org,http://www.akankshaa.org,"Education, health, old age care.",Social contribution.,"Akankshaa will be focusing on India?s various social issues that demand urgent action, solutions and measurable results. Whether providing medical help to poor patients, educating girl child, providing old age home facilities or providing clean and safe drinking water, Akankshaa will be making at attempt by contributing time, skills and resources towards its causes. At Akankshaa, what binds us is the belief that Change is possible. Because I?ll make it possible. It is this zeal that enables individuals, organizations and corporate houses originating from various parts of the world expected to join in our efforts to help people who need and deserve it. The mission of AkankshaA is to strengthen the capacity of people in India to fight various challenges of the society. AkankshaA trust is under the process of registration and would be focusing on building educhain, medichain, oldegelphelp us making an attempt to take education to the doorsteps of poor, deliver health & find home for aged"
"Akshara – A women’s Resource Centre, Mumbai","501, Neelambari, 5th Floor, Road no 86, Opp. Portuguese Church
Mumbai","400028
Maharashtra",91-22-4316082,,aksharacentre@vsnl.com,,Nandita Shah,Women’s issues,"Akshara works closely with young women in educational institutions, working class neighborhoods, Destitute homes, hostels and work place . Akshara believes in confronting all forms of discriminations and emphasising on an equal and just society"
"Akshata Foundation, Mumbai","Balwadi Datta, Mandir Road
Mumbai","400055
Maharashtra",,"91-98191 12715, 91-092212 59002",akshata_foundation@yahoo.com,http://www.akshata.org,Sandeep Gavali,An education centre for poor & under-privileged children,"Akshata foundation, a charitable trust, established in 2004-05, is a non-profit organization with a specific goal to survey and find-out the under privileged children in the society, who have potential but can not learn computer due to odd circumstances. Akshata help them to take proper education, provide them required educational aid to learn better. Akshata is serving in the field of education since last 4 years. Today we can proudly say that Akshata has successfully given computer education to more than 4000 poor children of the society at our own computer training centre called, softech computer education"
"Al Birr Foundation, Mumbai","1, Vanjara Mansion, Gunpowder Road, Mazgaon, Dockyard Road
Mumbai
Maharashtra
400010", , ,"99209 55597, 97022 08451",albirr.foundation@gmail.com,www.albirr.in,"Tahir, Mr.Abid","Awareness Generation, Human Rights, Legal Awareness, Medical Relief, Social Awareness, Volunteers, Youth Leegal Aid For Non-Habitual Prisoners.",Leegal aid for non-habitual prisoners
"Ali Yavar Jung national Institute for the Hearing handicapped, Mumbai","K C Marg BAndhra Reclamation, BAndhra (West)
Mumbai","400050
Maharashtra","91-22-6400215, 022-6422638",,director@giasbom01.vsnl.net.in,http://www.ayjnihh.org,Noel Cunha,Disability,
"Anathpindak Seva Sangha, Mumbai","Torne Chawal Tembipada, Mumbai
Mumbai","400078
Maharashtra",91-22-25558156,,hemantbanale@gmail.com,,,Welfare of poor peopal.,Improvement of poor SC-ST caste help to all poor peopal
"Andhra Karnataka Dalita Varga Sangha, Mumbai","BMC Chawl No.140/9, Near Periyar Chowk
Mumbai","400017
Maharashtra",91-22-24024684,,akdvsmumbai@yahoo.co.in,http://www.akdvs.com,Shankar Santi,Educational & social activity.,AKDVS has been focusing on education with an objective to make the same peoples friendly with an emphasis on creating a learning environment
"Ankur Pratishthan, Mumbai","16, Shivaji Park house, L.J.Road, Mahim
Mumbai","400016
Maharashtra",,"91-98698 66814, 91-98693 78827",ngoankur@gmail.com,,Pranav Bhonde,To help under privilege childrens.,To support and promote the children who can not withstand in today?s competitive world just due to lack of the strong support
"Anmol Seva Samiti, Mumbai","2/37, J.S.S. Rd, Dhobitalao, Navjivanwadi
Mumbai
Maharashtra
400002", , ,93235 51961,gopinathkhanvilkar@gmail.com,,Gopinath Khanvilkar,Development (General).,To restore faith in humanity
"Annamrita – Iskcon Food Relief Foundation, Mumbai","19, Jaywant Industrial Estate, 63, Tardeo Road
Mumbai
Maharashtra
400034", , ,,pratima@annamrita.org,www.annamrita.org,Dilzad Khariwalla(Marketing Manager),"Child Welfare, Education Mid Day Meal.","Iskcon food relief foundation is a non-profit, non-religious, non-sectarian charitable trust. The purpose of annamrita is to liberate children from the cycle of illiteracy and hunger by serving mid-day meals to underprivileged children in municipality & government schools across india. This program is a strategic project of the government of indiaand is being implemented by iskcon food relief foundation (IFRF) under the brand name of annamrita in select schools across Delhi. As of now, we serve over 12 lakh mid-day meals to children every day from our various centers across india. Most of these children come from slums and tribal areas. The purpose of implementing the scheme is to facilitate the government in increasing the enrollment in these schools, reducing the dropout rate, improving the attendance & providing nutrition in these formative years for kids. Cooked in the most efficient and hygienic manner, this nutritious, sumptuous and sanctified meal consists of different menus such as khichdi, chapatti subji, rice sambar etc. According to local tastes. Annamrita aims to reach out to at least 20 lakh kids by 2020"
"Annapurna Mahila Mandal, Mumbai","Block No. 10, Nauhit Bldg. 3rd Floor, 125 Ram Maruti Road Dadar (W)
Mumbai","400028
Maharashtra","91-22-24304474, 91-22-24308704",,ammd@vsnl.net,,Prema Purao,"Child welfare, Health, Women’s issues","AMM works for welfare of women and the girl child. To achieve this it conducts various activities that include educating women on health, nutrition, mother and childcare, family planning, literacy and environmental sanitation. It works for the empowerment of women and enables them to take their own decisions and fight for security and rights"
"Apang Utkarsh Seva Sanstha, Navi Mumbai","402, Shubhkiran, C.H.S. Ltd. 2 Sector 42
Navi Mumbai","400706
Maharashtra",,91-98698 29144,apangutkarsh@gmail.com,,Somnath W. Choughule,Welfare of persons with disabilities.,
"APNALAYA, Mumbai","75, Bhulabhai Desai Road
Mumbai","400026
Maharashtra",91-22-23539752,,director@apnalaya.org,http://www.apnalaya.org,Leena Joshi,Community development in slums.,"Working with individuals, groups and communities, Apnalaya?s aim is to empower the disadvantaged to overcome the many social, political and economic barriers they face, and to help them access opportunities that lead to a better quality of life"
"Archana Trust Suburban, Mumbai","81, Laspalmas, Little Gibbs Road, Malbar Hill
Mumbai","400006
Maharashtra",91-22-23630510,,dpgawai@yahoo.com,Archana Trust Suburban,"D.P.Gawai, Nalini Somany",Social work,"Women emporment, poverty irradigatio, education, technical education, tribal and rural development, health services, old age home"
"Artivist, Mumbai","B-4, Abhishek
Mumbai","400057
Maharashtra",,91-98925 00336,rishide@gmail.com,,Rsihi Deshpande,Making films based on issues related to children. and create awareness amongst people.,"We, in India are expecting a better tomorrow; to achieve that we need to be a better society first, and we need to create a better generation next. Children are the key. How much are we doing for this key future resource? How much importance do we give to children?s needs, demands, and rights? Yes, we do give them importance in our advertising; we do give them importance as per our convenience. Do we aim at making a good human being out of our children rather than a successful child? Or in other words are we good human beings or just successful? What kind of role models do they have? What do they get to see everyday in the newspaper, on the tv, in films. Are we catering to these needs? Are we focusing genuinely on ?their? problems / issues? These problems might sound tiny/ unimportant or sometimes not even sound like ?problems? to us. But for them they are very important. and we need to give it a thought. We have to at least let them voice their issues"
"Aseema Charitable Trust, Mumbai","G – 3, Josephine Apartments, Chimbai Road, BAndhra
Mumbai","400050
Maharashtra","91-22-26407248, 91-22-26407248",,contact@aseema.org,http://aseema.org,Dilbur Parakh,"Child welfare, Disadvantaged communities, Education, Human Rights","Aseema?s main aim is to promote and protect human rights of underprivileged children and women. It draws inspiration from the United Nations Convention on the rights of children, which recognizes the right of every child to education. Aseema?s main objective is to encourage children to enroll at the centre to prepare them for entry into municipal and private formal school. To provide ongoing support to those already in the formal system to ensure they do not drop out of school and to provide them with health facilities and adequate nourishment"
"Ashley Hypogammaglobulinemia Foundation Trust, Mumbai","3, Melinda Villa, Tony Compound, Sahar Village, Andheri East
Mumbai","400099
Maharashtra",,91-98199 50473,ashleyhopeindia@gmail.com,http://www.ashleyhopeindia.org,Andrea Vantistell,Help all the poor children in every state of India. Suffering from this rare disease.,Getting help for poor children in every state of India. Giving awareness of this disease. To get your children diagnosed a test that you could get done in hospital in all the state of India. Having international tie-up with the latest technology. Accepting donation and how you could also be part of Ashley Foundation
"Asiad Foundation Trust, Mumbai","8, 3rd Floor, Bhawani Industrial Services Estate, Opp. I.I.T. Maingate, Powai
Mumbai","400076
Maharashtra","91-22-25779951, 91-22-25779952, 91-22-25779953",91-99674 28786,help@asiadfoundation.com,http://www.asiadfoundation.com,Sadique Ibrahim Mulla,"Education, child development, rural development.",Help to the people for the people from the people
"Association for Consumers Action on Safety & Health, Mumbai","Servants of India Society, 2nd Floor, 417 SVP Road, Girgaum
Mumbai","400004
Maharashtra",91-22-23886556,,acash.india@gmail.com,http://www.acash.org,Yogini Mishra,Consumers health,"To collaborate with, and to work in cooperation with other organisations for public education, research and mobilisation in the fields of health, safety and nutrition and provide a forum for redressal of consumer grievances. To provide for, undertake aid and promote the study, research, testing, investigation and evaluation of consumer products and services in the field of health care and safety. To promote, aid and popularize the use of cost-effective, economical and affordable solutions for health care, nutritional and safety issues, and to mobilize public opinion against uneconomical, wasteful, irrational or otherwise damaging goods and services. To protect the rights of all the consumers including those who are deprived and disfranchised"
"Association for Leprosy Education, Rehabilitation & Treatment-India, Mumbai","9, B Mira Mension, Sion West
Mumbai","400022
Maharashtra","91-22-24033081, 91-22-24072558",,byelep@iname.com,,A. Antony Samy,"Health, Rehabilitation, Women’s issues",ALERT-India is engaged in early detection of leprosy cases and provides them with the required treatment without segregation. It works towards creating awareness on leprosy among the community so as to eliminate the fear and myths associated with the disease and propagate the scientific facts about it
"Association for the Welfare of Persons with a Mental Handicap in Maharashtra, Mumbai","Turner Morrison House (Basement), 16, Bank Street
Mumbai","400023
Maharashtra",91-22-22654816,,awmh@vsnl.net,,Pushpa Bhowmik,"Child welfare, Disability, Health","AWMH was established as a society and public trust for offering year round programmes for mentally handicapped infants, children and adults, their families, and professionals in the field of rehabilitation. It conducts research work, workshops, seminars and street plays to make people aware about the handicapped"
"Association of Rural People for Health & Educational Needs, Navi Mumbai","C5-24, 3:4, Sector-5, C B D
Navi Mumbai","400615
Maharashtra","91-22-27574315, 022-27574315",,arph123@rediffmail.com,,Puthu Kunthu Nayak,"Education, Health, Rural Development",ARPHEN’s main aim is to encourage rural development on self-help basis through employment opportunities and other form of resettlement programmes and personal growth. Also to propagate and enlighten the public about rural and urban development so that the community accepts and integrates rural people as valuable citizens capable of growth to their fullest potential
"Association of Youth for a Better India, Mumbai","213, Oyster’s, 74/76 Mahendra Chambers, Dr D N Road
Mumbai","400001
Maharashtra",91-22-22071689,,aybi@vsnl.com,,Yazad Jal,Development(General),"The mission of AYBI is to motivate people to be active citizens working towards a clean, accountable society by taking positive concerted action. It?s objectives include creating awareness on social, political, economic, environment and cultural issues, motivating the youth to be sensitive in their thinking and helping them to develop their character"
"Astitva Foundation, Mumbai","Laxmi Wadi, New Shyam Nagar, Near Kokan Nagar Garden, Jogeshwari – East
Mumbai","400060
Maharashtra",91-22-28270530,91-93240 28117,a_astitva@yahoo.co.in,,Narayan Ganpat Sawant,Women empowerment through self help group.,To make women self reliant To make women united and form women federation. To empower women by all the way
"Aured Charitable Trust, Mumbai","Anand Niketan, King George V Memorial, Dr. E. Moses Rd.
Mumbai","444011
Maharashtra",91-22-24926721,,aured@vsnl.net,http://www.aured.org,Aziza Tyabji Hydari,Hearing Impairement,"To integrate children with hearing impairement to become independent, participating, contributing citizens in mainstrem society.This approach enables a child to “LISTEN AND SPEAK” by making use of every bit of residual hearing"
"Aurobindo Chaudhuri Memorial Great Indian Dream Foundation, Mumbai","23, Sangeeta Building, Level 4, Tagore Rd, Near Podar School
Mumbai","400054
Maharashtra","91-22-67148446, 91-22-67148446",,sunita.c@gidf.org,http://www.gidf.org,Arindam Paul,,"Our strategy is to empower the vulnerable sections of the society by building up their capacities through education, health and skill-based development. We are working for the cause of human development focusing on the less privileged sections of the society in the rural & urban areas of the country. The spheres of our work are governed by issues related to health, education, livelihood and environment. ACM GIDF is a social initiative of Indian Institute of Planning & Management (IIPM) & Planman Consultants. To do everything possible in order to achieve the great indian dream of making Indian an educated, healthy nation, free of poverty and its in human indignities"
"Avehi Public Charitable Trust, Mumbai","Raoli Camp, S.M. Road, Sardar Nagar, No 4, Sion-Koliwada
Mumbai","400037
Maharashtra",91-22-24072188,,aavrc@vsnl.com,http://www.avehi.org,Malvika Chari,"Development(General), Media","AVEHI aims to promote the use of A.V. media in both formal and non-formal education for widening horizons for creating a scientific temper for deepening social awareness, promoting secularism, equality, social justice, communal harmony and fostering human rights and gender sensitivity"
"Avert Society, Mumbai","Mr K Vaidyanathan, Project Director, AC Worth Complex, RA Lidwai Marg Wadala
Mumbai","400031
Maharashtra","91-22-24164510, 022-24163996",,k_vaidy@vsnl.net,,Sukanya Poddar,"Grants/Aids, Health","The Avert Society is a seven-year project supported by the United States Agency for international development to compliment the government response to HIV/AIDS. Hindustan Latex, Family planning promotion trust will provide technical assistant for the project. Avert Society will work with NGOs community groups, state and municipal governments and corporate partners to address the issues of HIV/AIDS in Maharashtra state"
"BACHATSAGAR, Mumbai","21, Sainath Chawl, Ganesh Mandal, Sanjay Nagar, Meghawadi, Jogeshwari
Mumbai","400060
Maharashtra",91-22-32115554,91-90299 56626,bachatsagar@gmail.com,http://www.bachatsagar.org,Dinesh,"Child welfare, education, employment, women’s issues.","Our basic aim to fulfill the need, give colour and shape to the dream of helpless and needy peoples. To promote Education and Sports amongst youngsters and develop them into good citizens and contribute to Nation Building"
"Ballal Siddhi Foundation Trust, Mumbai","9/A- 34 New Sagar Darshan, Jankalyan Nagar, Mareve Road, Malad (West)
Mumbai","400095
Maharashtra",91-22-42470010,91-98207 39897,amol76@rediffmail.com,,Amol Sawant,,Our aim to provide educations to rural child
"Bapnu Ghar, Mumbai","12, Annie Besant Road, Worli
Mumbai","400018
Maharashtra",91-22-24924252,,nkapte@hotmail.com,,Pushpa Sethna,Women’s issues,"Bapnu Ghar is a home for socially distressed women. It offers these women with all the basic necessities such as food, shelter and medical care. It aims to rehabilitate these women through training and counselling and help them go back to the mainstream of the community"
"BARSAAT, Mumbai","B-1, B Wing, 501, Valentine Apt 3, Film City Road, Malad (East)
Mumbai","400097
Maharashtra",91-22-28412665,91-76664 80138,yashhisaria@rediffmail.com,,Yash Hisaria,Growing mango tree.,We are germinating mango seeds and transplanting the saplings to trees
"Bharatiya Sindhu Sabha, Mumbai","581/6 Harsha Chs Ltd., 3rd Road, Khar (W)
Mumbai","400052
Maharashtra","91-22-26488240, 022-26057250",91-9869223484,bssmumbai@hotmail.com,http://www.sindhusabha.org,Mohan Motwani,"Education, health, help to poor people and widows, to preserve protect and grow our culture.","It is a social, educational and cultural organization. Main activities consists of financial help to poor students who want to prosecute higher studies, to preserve and promote sindhi culture and language, to eradicate evils from the community, to promote a sense of patriotism among the citizens, to strengthen panchayats to run sindhi classes, to arrange for free medical camps for all poor citizens, to run free marriage bureaus, counseling and guidance to students etc"
"Blind Peoples Welfare Association, Mumbai","101, Alfateh Apt., Behind Corporation Bank, Thane
Mumbai","401107
Maharashtra",,91-93221 82674,bpwa.miraroad@gmail.com,,Khalida M. Khan,Upliftment of visually challenged,"We work for all disabled, specially visually chellanged persons welfare for their education job rehablitation and medical care thru various projects and regular relief programs"
"Bolo Shree, Mumbai","191, Powai Plaza, Hiranandani Gardens, Powai
Mumbai","400076
Maharashtra",91-22-64460929,91-9969 01524,venkycommunity.2008@rediffmail.com,http://www.boloshree.org,V.S. Venkatachalam,To create model villages throughout India.,To create meaningful opportunities amongst the marginalized and the poor of India and to ensure a prosperous and happy country
"Bombay Leprosy Project, Mumbai","Vidnyan Bhavan, 11 VN Purva Marg, Sion-Chunabhatti
Mumbai","400022
Maharashtra","91-22-25223040, 91-22-25296486",,bomlep@bom5.vsnl.net.in,,Ramasamy Ganapati,"Aged, Disability, Education, Employment, Health, Population","Bombay Leprosy Project (BLP) is a concept in innovation in leprosy management. BLP as an NGO with its basic objectives of operational research has tried to practise several cost-effective fields oriented concepts in chemotherapy, disability care, rehabilitation and medical education. Inspite of several financial constraints and an atmosphere of instability all the time, BLP with sheer grit and determination has been able to document several achievements. If we receive support from well-wishers, BLP will work towards the goal of reaching a World Without Leprosy, with the theme of ?Improving the quality of life of the leprosy patients"
"Bombay Mothers and Children Welfare Society, Mumbai","10, BDD Chawls, N.M. Joshi Marg, Lower Parel
Mumbai","400013
Maharashtra",91-22-23085794,,bmcws@vsnl.net,http://www.bmcws.com,Dr Madhev Sathe,Welfare of the weakest sections of the society.,"The Bombay Mothers and Children Welfare Society has grown from just a mother and child welfare organization to an Institution that caters to the growing needs of the weaker sections of the society, while retaining its basic ideology of healthy growth and development of the mother and the child"
"Bombay Teen Challenge, Khar","Bombay Teen Challenge, 1 Chuim Village, 1st Floor
Khar ( West )","400052
Maharashtra","91-22-26042242, 91-22-26050651",,btc@vsnl.com,,Kuniyal Devaraj,"Child welfare, Education, Employment, Health, Poverty, Women’s issues","Bombay Teen Challenge is dedicated towards meeting the physical, spiritual and social needs of men and women who are abusers of drug and alcohol and who demonstrates a clear desire to be free of their addiction. Bombay Teen Challenge is dedicated to rescue Commercial Sex Workers who are in bondage, rehabilitate and care for their physical, social, mental and spiritual needs. Bombay Teen Challenge is committed to rescue, educate, care for and help in the over-all development of children of commercial Sex Workers. Who are vulnerable and integrate them back to society"
"Bombay Urban Industrial League for Development, Mumbai","11, Sujata Niwas Housing Society, S V Road, BAndhra (West)
Mumbai","400050
Maharashtra","91-22-26433933, 91-22-26422110",,build@bom5.vsnl.net.in,,George Daniel,"Development(General), Environment, Grants/Aids, Human Rights, Labour, Minorities, Poverty, Rural Development, Sustainable Development, Tribal issues, Urban Development, Women’s issues","BUILD envisages an egalitarian society with justice, peace and dignity of persons. To attain this BUILD believes in conscientising the poor and the marginalised and there by to equip and empower them to be active social actors in development process of nation building and also to bargain for their rights and share of power"
"Business Trading Ethically , Mumbai","A-15 Flat 2, Goregoan (W)
Mumbai","400104
Maharashtra",91-22-26761129,,Girish@bte.org.uk,http://www.bte.org.uk,Girish P Kowale,Supply chain standards,"BTE are specialists in ethical trading and have worked with organisations of all sizes, across sectors to develop responses to the ethical challenges of sourcing from global markets. We believe that working in partnership with all elements of the supply chain is the only way to build and deliver sustainable, realistic and appropriate solutions to improve labour standards. In this way we will ensure that the workers in these supply chains are fairly paid and that the conditions in which they work are healthy and safe"
"C C Shroff Self Help Centre, Mumbai","Excel Estate, Goregaum West
Mumbai","400062
Maharashtra","91-22-28726151, 91-22-28769811",,,,Kishan Bisht,"Development(General), Disadvantaged communities",The main aim of the centre is to help disadvantaged sections of society particularly women in slums. It conducts various employment programmes and welfare activities
