user,ngo_name,contact_number,email,address,state,logo
118,"Aditya Foundation, Mumbai",,shilpkala9@gmail.com,"98, Deepak Drm.B.Raut Rd, Shivajipark, Dadar
Mumbai",Maharashtra,
119,"Adnyan Research & Educational Trust, Mumbai",91-99675 37639,adnyan@hotmail.com,"2/3, Sant Nirankari Bhavan, Naigoan, Dadar East
Mumbai",Maharashtra,
120,"AICUF – All India Catholic University Federation, Mumbai",,aicufmumbai@gmail.com,"St. Xaviers College, Fort
Mumbai",Maharashtra,
121,"AIESEC, Mumbai",91-98987 98814,gaurav.julka@aiesec.net,"C/O Godrej Industried Ltd. Gate 2, Eastern Express Highway Vikhroli East
Mumbai",Maharashtra,
122,"Akanksha Foundation, Mumbai",,hr@akanksha.org,"Voltas House C, T.B. Kadam Marg, Chinchpokli
Mumbai",Maharashtra,
123,"AKANKSHAA, Navi Mumbai","91-99699 49208, 91-99679 74391",akankshaa@akankshaa.org,"B2/01 Nilgiri Gardens, Sector 24 CBD Belapur
Navi Mumbai",Maharashtra,
124,"Akshara – A women’s Resource Centre, Mumbai",,aksharacentre@vsnl.com,"501, Neelambari, 5th Floor, Road no 86, Opp. Portuguese Church
Mumbai",Maharashtra,
125,"Akshata Foundation, Mumbai","91-98191 12715, 91-092212 59002",akshata_foundation@yahoo.com,"Balwadi Datta, Mandir Road
Mumbai",Maharashtra,
126,"Al Birr Foundation, Mumbai","99209 55597, 97022 08451",albirr.foundation@gmail.com,"1, Vanjara Mansion, Gunpowder Road, Mazgaon, Dockyard Road
Mumbai
Maharashtra
400010",Maharashtra,
127,"Ali Yavar Jung national Institute for the Hearing handicapped, Mumbai",,director@giasbom01.vsnl.net.in,"K C Marg BAndhra Reclamation, BAndhra (West)
Mumbai",Maharashtra,
128,"Anathpindak Seva Sangha, Mumbai",,hemantbanale@gmail.com,"Torne Chawal Tembipada, Mumbai
Mumbai",Maharashtra,
129,"Andhra Karnataka Dalita Varga Sangha, Mumbai",,akdvsmumbai@yahoo.co.in,"BMC Chawl No.140/9, Near Periyar Chowk
Mumbai",Maharashtra,
130,"Ankur Pratishthan, Mumbai","91-98698 66814, 91-98693 78827",ngoankur@gmail.com,"16, Shivaji Park house, L.J.Road, Mahim
Mumbai",Maharashtra,
131,"Anmol Seva Samiti, Mumbai",93235 51961,gopinathkhanvilkar@gmail.com,"2/37, J.S.S. Rd, Dhobitalao, Navjivanwadi
Mumbai
Maharashtra
400002",Maharashtra,
132,"Annamrita – Iskcon Food Relief Foundation, Mumbai",,pratima@annamrita.org,"19, Jaywant Industrial Estate, 63, Tardeo Road
Mumbai
Maharashtra
400034",Maharashtra,
133,"Annapurna Mahila Mandal, Mumbai",,ammd@vsnl.net,"Block No. 10, Nauhit Bldg. 3rd Floor, 125 Ram Maruti Road Dadar (W)
Mumbai",Maharashtra,
134,"Apang Utkarsh Seva Sanstha, Navi Mumbai",91-98698 29144,apangutkarsh@gmail.com,"402, Shubhkiran, C.H.S. Ltd. 2 Sector 42
Navi Mumbai",Maharashtra,
135,"APNALAYA, Mumbai",,director@apnalaya.org,"75, Bhulabhai Desai Road
Mumbai",Maharashtra,
136,"Archana Trust Suburban, Mumbai",,dpgawai@yahoo.com,"81, Laspalmas, Little Gibbs Road, Malbar Hill
Mumbai",Maharashtra,
137,"Artivist, Mumbai",91-98925 00336,rishide@gmail.com,"B-4, Abhishek
Mumbai",Maharashtra,
138,"Aseema Charitable Trust, Mumbai",,contact@aseema.org,"G – 3, Josephine Apartments, Chimbai Road, BAndhra
Mumbai",Maharashtra,
139,"Ashley Hypogammaglobulinemia Foundation Trust, Mumbai",91-98199 50473,ashleyhopeindia@gmail.com,"3, Melinda Villa, Tony Compound, Sahar Village, Andheri East
Mumbai",Maharashtra,
140,"Asiad Foundation Trust, Mumbai",91-99674 28786,help@asiadfoundation.com,"8, 3rd Floor, Bhawani Industrial Services Estate, Opp. I.I.T. Maingate, Powai
Mumbai",Maharashtra,
141,"Association for Consumers Action on Safety & Health, Mumbai",,acash.india@gmail.com,"Servants of India Society, 2nd Floor, 417 SVP Road, Girgaum
Mumbai",Maharashtra,
142,"Association for Leprosy Education, Rehabilitation & Treatment-India, Mumbai",,byelep@iname.com,"9, B Mira Mension, Sion West
Mumbai",Maharashtra,
143,"Association for the Welfare of Persons with a Mental Handicap in Maharashtra, Mumbai",,awmh@vsnl.net,"Turner Morrison House (Basement), 16, Bank Street
Mumbai",Maharashtra,
144,"Association of Rural People for Health & Educational Needs, Navi Mumbai",,arph123@rediffmail.com,"C5-24, 3:4, Sector-5, C B D
Navi Mumbai",Maharashtra,
145,"Association of Youth for a Better India, Mumbai",,aybi@vsnl.com,"213, Oyster’s, 74/76 Mahendra Chambers, Dr D N Road
Mumbai",Maharashtra,
146,"Astitva Foundation, Mumbai",91-93240 28117,a_astitva@yahoo.co.in,"Laxmi Wadi, New Shyam Nagar, Near Kokan Nagar Garden, Jogeshwari – East
Mumbai",Maharashtra,
147,"Aured Charitable Trust, Mumbai",,aured@vsnl.net,"Anand Niketan, King George V Memorial, Dr. E. Moses Rd.
Mumbai",Maharashtra,
148,"Aurobindo Chaudhuri Memorial Great Indian Dream Foundation, Mumbai",,sunita.c@gidf.org,"23, Sangeeta Building, Level 4, Tagore Rd, Near Podar School
Mumbai",Maharashtra,
149,"Avehi Public Charitable Trust, Mumbai",,aavrc@vsnl.com,"Raoli Camp, S.M. Road, Sardar Nagar, No 4, Sion-Koliwada
Mumbai",Maharashtra,
150,"Avert Society, Mumbai",,k_vaidy@vsnl.net,"Mr K Vaidyanathan, Project Director, AC Worth Complex, RA Lidwai Marg Wadala
Mumbai",Maharashtra,
151,"BACHATSAGAR, Mumbai",91-90299 56626,bachatsagar@gmail.com,"21, Sainath Chawl, Ganesh Mandal, Sanjay Nagar, Meghawadi, Jogeshwari
Mumbai",Maharashtra,
152,"Ballal Siddhi Foundation Trust, Mumbai",91-98207 39897,amol76@rediffmail.com,"9/A- 34 New Sagar Darshan, Jankalyan Nagar, Mareve Road, Malad (West)
Mumbai",Maharashtra,
153,"Bapnu Ghar, Mumbai",,nkapte@hotmail.com,"12, Annie Besant Road, Worli
Mumbai",Maharashtra,
154,"BARSAAT, Mumbai",91-76664 80138,yashhisaria@rediffmail.com,"B-1, B Wing, 501, Valentine Apt 3, Film City Road, Malad (East)
Mumbai",Maharashtra,
155,"Bharatiya Sindhu Sabha, Mumbai",91-9869223484,bssmumbai@hotmail.com,"581/6 Harsha Chs Ltd., 3rd Road, Khar (W)
Mumbai",Maharashtra,
156,"Blind Peoples Welfare Association, Mumbai",91-93221 82674,bpwa.miraroad@gmail.com,"101, Alfateh Apt., Behind Corporation Bank, Thane
Mumbai",Maharashtra,
157,"Bolo Shree, Mumbai",91-9969 01524,venkycommunity.2008@rediffmail.com,"191, Powai Plaza, Hiranandani Gardens, Powai
Mumbai",Maharashtra,
158,"Bombay Leprosy Project, Mumbai",,bomlep@bom5.vsnl.net.in,"Vidnyan Bhavan, 11 VN Purva Marg, Sion-Chunabhatti
Mumbai",Maharashtra,
159,"Bombay Mothers and Children Welfare Society, Mumbai",,bmcws@vsnl.net,"10, BDD Chawls, N.M. Joshi Marg, Lower Parel
Mumbai",Maharashtra,
160,"Bombay Teen Challenge, Khar",,btc@vsnl.com,"Bombay Teen Challenge, 1 Chuim Village, 1st Floor
Khar ( West )",Maharashtra,
161,"Bombay Urban Industrial League for Development, Mumbai",,build@bom5.vsnl.net.in,"11, Sujata Niwas Housing Society, S V Road, BAndhra (West)
Mumbai",Maharashtra,
162,"Business Trading Ethically , Mumbai",,Girish@bte.org.uk,"A-15 Flat 2, Goregoan (W)
Mumbai",Maharashtra,
163,"C C Shroff Self Help Centre, Mumbai",,,"Excel Estate, Goregaum West
Mumbai",Maharashtra,
164,"Cancer Aid and Research Foundation, Mumbai",,cancerarfoundation@yahoo.com,"Byculla Municipal School Building, N. M. Joshi Marg
Mumbai",Maharashtra,
165,"Cancer Patients Aid Association, Mumbai",,shubhamaudgal@cpaaindia.org,"Anand Niketan, King George V Memorial, Dr E Moses Road Mahalaxmi
Mumbai",Maharashtra,
166,"CEHAT – Centre for Enquiry into Health & Allied Themes, Mumbai",,cehat@vsnl.com,"Cehat Survey No.2804 & 2805 Aaram Society Road, Vakola, Santacruz (E)
Mumbai",Maharashtra,
167,"Centre for Advancement of Philanthropy, Mumbai",,centphil@bom7.vsnl.net.in,"Mulla House, 4th Floor
Mumbai",Maharashtra,
168,"Centre for Enquiry into Health & Allied Themes, Mumbai",,cehat@vsnl.com,"2nd Floor, BMC Maternity Home, 135, A-E, Next to Lok Darshan, Military Road Marol
Mumbai",Maharashtra,
169,"Centre for Study of Society & Secularism, Mumbai",,csss@bom2.vsnl.net.in;csss@vsnl.com,"9B Himalaya Apartments, 6th Road, Santa Cruz (E)
Mumbai",Maharashtra,
170,"Centre for the Study of Social Change, Mumbai",,hdcssc@bom5.vsnl.net.in,"CSSC C/o M N Roy Human Development Campus, Opp Govt. Colony Bldg. No. 326, BAndhra (E)
Mumbai",Maharashtra,
171,"CHAIN – Community Helping Adults in Need, Mumbai",1-98203 20311,"bhavinbusa@yahoo.co.in,chainNGO@gmail.com","D-703, Prithvi Enclave, Nr. Annex Mall Mumbai
Mumbai",Maharashtra,
172,"Chain Foundation, Mumbai",91-98203 20311,chainNGO@gmail.com,"D-703, Prithvi Enclave, Nr. Annex Mall
Mumbai",Maharashtra,
173,"Chatrapati Shivaji Seva Mandal, Mumbai",91-93221 15797,vijaykumar.bhoite@gmail.com,"Chatrapati Shivaji Maidan, Near Vegitabel Market
Mumbai",Maharashtra,
174,"Child Help Foundation, Mumbai",97029 29267,rajendra.pathak@childhelpfoundationindia.org,"204, Jaydeep Bldg, Sector-1, Shanti Nagar, Opp. Tmt Bus Stand, Mira Road
Mumbai
Maharashtra
401107",Maharashtra,
175,"Child Relief & You, Mumbai",,hrdho.mum@crymail.org,"189 A, Sane Guruji Marg, Anand Estate
Mumbai",Maharashtra,
176,"Child Rights & You, Mumbai",,,"189/A, Sane Guruji Marg
Mumbai",Maharashtra,
177,"Child Vision And Education, Mumbai",96646 96648,info@childvisionandedu.org,"22 C, Ng Park, Bldg No 2, Rawalpada, Dahisar East
Mumbai
Maharashtra
400068",Maharashtra,
178,"Childline India Foundation, Mumbai",,dial1098@childlineindia.org.in,"2nd Floor, Nana Chowk Municipal School, Fere Bridge
Mumbai",Maharashtra,
179,"Children of the World (India) Trust, Mumbai",,cwb@bom5.vsnl.net.in,"401, Arun Chambers
Mumbai",Maharashtra,
180,"Children Toy Foundation, Mumbai",,ctf@vishwa.com,"C/O Rdesai & Co, Ali Building, 72, Shahid Bhagat Singh Road
Mumbai",Maharashtra,
181,"Childrens Education Society, Mumbai",86918 05892,info@childrensedu.org,"B-Ward, Opp. Mseb Office, Near By Dr. Ambedkar Hall. Matumga Labour Camp
Mumbai
Maharashtra
400019",Maharashtra,
182,"Chrysalis Charitable Trust, Navi Mumbai",99670 00665,mbrooker52@gmail.com,"202, 217, Sector-13, Kharghar
Navi Mumbai
Maharashtra
410210",Maharashtra,
183,"Citizen’s Council for a Better Tomorrow, Mumbai",,suruchifoods@rediffmail.com,"130-132, Great Westren Building, Shahid Bhagat Singh Road
Mumbai",Maharashtra,
184,"Citizens Association For Child Rights, Mumbai",99875 98509,connect.cacr@gmail.com,"1, Prabhav Society, 2nd Road, Tps-3, Santacruz
Mumbai
Maharashtra
400055",Maharashtra,
185,"Citizens Welfare Association & Social Services, Mumbai",91-90048 86699,pramodmenon13@gmail.com,"4, Kasturi Park, New Maneklal
Mumbai",Maharashtra,
186,"Clean Air Island, Mumbai",,ichat@vsnl.com,"P.O. Box 4125, St. Helen’s Court
Mumbai",Maharashtra,
187,"College of Social Work, Mumbai",,colsocwk@vsnl.com,"Nirmala Niketan, 38, New Marine Lines
Mumbai",Maharashtra,
188,"Comet Media Foundation, Mumbai",,comet_media@vsnl.com,"Topiwala Lane Municipal School, Lamington Rd., Grant Road(East)
Mumbai",Maharashtra,
189,"Commitee for the Advancement of the Status of Blind Women, Mumbai",,nabin@bom3.vsnl.net.in,"11 Khan Abdul Gaffar Khan Road, Worli Sea Face
Mumbai",Maharashtra,
190,"Committed Communities Development Trust, Mumbai",,ccdtrust@bom5.vsnl.net.in,"8, Pali Chimbai Municipal School, St. Joseph Road, Chimbai BAndhra (West)
Mumbai",Maharashtra,
191,"Common Endeavour for Development, Navi Mumbai",,singhsweta@hotmail.com,"501, Kusum Apt, Sector 17, Vashi
Navi Mumbai",Maharashtra,
192,"Community Coordination Initiative, Mumbai",,drrahmat8@gmail.com,"Aicmeu Office, Vazir Bldg First Floor
Mumbai",Maharashtra,
193,"Community Development Trust, Mumbai",,srshelke@rediffmail.com,"G-14, Haridwar-I, Evershine Nagar
Mumbai",Maharashtra,
194,"Community Outreach Programme, Mumbai",,corp_india@yahoo.co.in,"Methodist Centre, 21, Ymca Road, Mumbai Central
Mumbai",Maharashtra,
195,"Concern India Foundation, Mumbai",,concern@vsnl.com,"Ador House, 6, Kdubash Marg
Mumbai",Maharashtra,
196,"Conscious Citizen Forum, Navi Mumbai","91-9867001003, 91-9867001004",conscious_citizen_forum@yahoo.co.in,"28, Thapar Complex, 51, Sec 15, CBD Belapur
Navi Mumbai",Maharashtra,
197,"Consumer Guidance Society of India, Mumbai",,cgsibom@bom4.vsnl.net.in,"J Block, Mahapalika Marg
Mumbai",Maharashtra,
198,"Consumers Welfare Association, Mumbai",,cwamumbai@gmail.com,"402, B-Wing, Ashoka Complex
Mumbai",Maharashtra,
199,"Convent of Jesus & Mary Special School, Byculla",,,"Clare Road, Byculla
Byculla",Maharashtra,
200,"Credit Consumers Association of India, Mumbai",,ccai.mumbai@gmail.com,"3/141, M.H.B. Colony, Ram Mandir Road
Mumbai",Maharashtra,
201,"Dare Foundation, Navi Mumbai",91-98330 66726,suhail@dare-india.org,"B-4/10-6, Millennium Tower
Navi Mumbai",Maharashtra,
202,"Decimal Foundation, Mumbai",91-98202 92487,pankaj@decimalfoundation.org,"403/404, Churchgate Chambers, 5, New Marine Lines
Mumbai",Maharashtra,
203,"Development Standards Association of India, Navi Mumbai",,abhijitpatil@dsaionline.org,"A-537, Balaji Bhawan, Sector 11, Near Belapur Railway Station, C.B.D.
Navi Mumbai",Maharashtra,
204,"Dhangar Samaj Seva Sangh, Mumbai",91-96193 66034,malesh.bhimrao@gmail.com,"81-2/3, Savera C.H.S.Ltd., Veera Desai Road, Andheri ? West
Mumbai",Maharashtra,
205,"Diabetes Health Foundation Charitable Trust, Navi Mumbai",86552 44665,diabeteshealthfoundation@gmail.com,"22, Gangadhar Complex, 3, Sector 7, Kamothe
Navi Mumbai
Maharashtra
410209",Maharashtra,
206,"Dignity Foundation, Mumbai",,dignity@vsnl.com,"BMC School Bld, Topiwala Lane, Grant Road
Mumbai",Maharashtra,
207,"Dilkhush Special School, Mumbai",,hemantat@hotmail.com,"Juhu Road, Mumbai
Mumbai",Maharashtra,
208,"Dilkhush Teaches Training Centre, Mumbai",,dilkhush@vsnl.com,"Dilkhush Teachers Training Centre, Juhu Road
Mumbai",Maharashtra,
209,"Disha-Development In Social and Health Alliace, Mumbai",99873 60382,disha.develop2013@gmail.com,"158/1478, MHB Colony, DG Nagar, Gate No. 8, Malwani, Malad
Mumbai
Maharashtra
400095",Maharashtra,
210,"Dnyanada Prabodhan, Mumbai",91-99871 68104,dnyanadaprabodhan@gmail.com,"701-A, Opp. HSG Society, Gopi Tank Road
Mumbai",Maharashtra,
211,"Don Bosco Research & Documentation Centre, Mumbai",,donboscoresearch@gmail.com,"Don Bosco Youth Services, 3rd Flr
Mumbai",Maharashtra,
212,"Door Step School, Mumbai",,doorstep@vsnl.com,"Jagannath Shanker Shet, Municipal School, R.No. 54, 55, 2nd Floor
Mumbai",Maharashtra,
213,"Dreamcatchers Foundation, Mumbai",91-98926 12646,dreamcatchers@rediffmail.com,"601, KUMUD, 15th Road, Khar (West)
Mumbai",Maharashtra,
214,"DREAMINDIA, Mumbai",91-97693 20545,isshvkv2004@yahoo.com,"302, Pooja Society, Near Lok Rachna
Mumbai",Maharashtra,
215,"Dreamz Home, Malad",91-98929 54019,dreamzhome@gmail.com,"M.H.B. Colony, Dindoshi Nagar
Malad (E)",Maharashtra,
216,"Each One Teach One Charitable Foundation, Mumbai",,info@eachoneteachone.org,"32, Cope Niwas, 275, Sion East Road
Mumbai",Maharashtra,
217,"Eternity Charitable Trust, Mumbai",91-98699 95918,revnmlall@gmail.com,"1/8 Rebellow compound, Poisar (E), Kandivali
Mumbai",Maharashtra,
218,"Eureka Forbes Institute of Environment, Mumbai",,vishal.b@eurekaforbes.com,"Bhupesh Gupta Bhavan, 1st Floor, 85 Sayani Road, Prabhadevi
Mumbai",Maharashtra,
219,"FACSE – Forum against Child Sexual Exploitation, Mumbai",,facse95@gmail,"54, Gilden Lane Municipal School, Off Belasis Bridge, Mumbai Central
Mumbai",Maharashtra,
220,"FAD – Forum Against Drugs & Aids, Mumbai",,drshantanoo@rediffmail.com,"Aid for Aids Centre, Opp Tarabai Hall, Below Marine Lines Flyover
Marine Lines, Mumbai",Maharashtra,
221,"Family Planning & Medical Aid Trust, Mumbai",,trust@giasbm01.vsnl.net.in,"6, Indian Mercantile Mansion, 3rd Floor, Madam Cama Road
Mumbai",Maharashtra,
222,"Fellowship of the Physically Handicapped, Mumbai",,fph@vsnl.net,"FPH Building, Lala Lajpatrai Marg, Haji Ali
Mumbai",Maharashtra,
223,"Food-Shelter-Water, Mumbai",91-98203 08668,jaideep@foodshelterwater.org,"Mumbai
Mumbai",Maharashtra,
224,"Foundation for Humanization, Mumbai",,humanist@vsnl.com,"11, Yogniti, 18, S.V. Road, Santacruz (W)
Mumbai",Maharashtra,
225,"Freedom For You Foundation, Mumbai","93225 92902, 98208 74028",4ufreedom@Gmail.Com,"801, Excel Residency, Sec-7, Airoli
Mumbai
Maharashtra
400708",Maharashtra,
226,"Freedom Human Rehabilitation & Development, Navi Mumbai",91-98212 40367,,"B-6, 0:4, Sector 1
Navi Mumbai",Maharashtra,
227,"Garbage Concern, Mumbai",,garbageconcern@gmail.com,"501/2 Royal Apts, Sector 3, Charkop
Mumbai",Maharashtra,
228,"Gayatri Pariwar Youth Group, Mumbai",91-98678 27393,gpmumbai@gmail.com,"A/3/003, Anand Nagar, Dahisar E
Mumbai",Maharashtra,
229,"GCPD – Global Center for Prevention of Diseases, Mumbai",,gcpd@hathway.com,"43, Bajaj Bhawan, Nariman Point
Mumbai",Maharashtra,
230,"Gharkul Public Charitable Trust, Mumbai",98337 36200,gharkultrust@yahoo.com,"Prabhat Colony, Muncipal School Ground Flr, Santacruz
Mumbai
Maharashtra
400055",Maharashtra,
231,"Global Foundation, Mumbai",,globalf@indiatimes.com,"2, Mahavir Chamber, 17, Keshvaji Naik Road
Mumbai",Maharashtra,
232,"Gramin Sushikshit Bekar Sudhar Sanghatna, Mumbai",,ram_cp229@rediffmail.com,"18/274, Kannamwarnagar1
Mumbai",Maharashtra,
233,"Green Earth Foundation for Global Environment, Mumbai",,,"18-B-1Shivdarshan Building, Shiv Vallabh Road, Ashokvan Borivali (E)
Mumbai",Maharashtra,
234,"Green World Trust, Mumbai",91-99870 97546,greensupport@greenindians.in,"523, Midas, Sahar Plaza, J.B. Nagar, Andheri (East)
Mumbai",Maharashtra,
235,"Gurukripa Foundation, Mumbai",91-98678 75999,gurukripafoundation@gmail.com,"20, Hiralal Compund Below Kennady, Bridge Grant Road West
Mumbai",Maharashtra,
236,"Gurunanak Charitable Dispensary, Mumbai",,goregaongurudwaragnsg@gmail.com,"1st Floor, 92, L.T.Road No.5
Mumbai",Maharashtra,
237,"Habitat for Humanity India, Mumbai",,habitatindia@hfhisa.net,"B-61, 2nd Floor, 1, Ajay Mittal Industrial Estate
Mumbai",Maharashtra,
238,"Hamara Club, Mumbai",,hamara_club@rediffmail.com,"Gilder Lane Muncipal School, Room No. 27, Mumbai Central
Mumbai",Maharashtra,
239,"Hariyali Lok Kalyan Seva Samiti, Navi Mumbai",91-98694 47789,,"406, Preeti Park
Navi Mumbai",Maharashtra,
240,"Harmony for Silvers Foundation, Mumbai",,contact.us@harmonyindia.org,"Harmony Celebrate Age Reliance Centre, 1st Floor, 19 Walchand Hirachand Marg
Mumbai",Maharashtra,
241,"Harshad Mane Foundation, Mumbai",91-99677 06150,harshad_mane_21@yahoo.co.in,"A 402 Shree Samarpan, Natwar Nagar Road 4 Jogeshwarie Ast
Mumbai",Maharashtra,
242,"Harshal Charitable Trust, Mumbai","91-99303 55562, 91-97733 93811",sainet_help@yahoo.com,"5, B/h Block 2, Azad Nagar, R.A.K. Road, Wadala
Mumbai",Maharashtra,
243,"Health Education Library for People, Mumbai",,malpani@vsnl.com,"OM Chambers, 5th Floor, Kemps corner
Mumbai",Maharashtra,
244,"Health Organation, Mumbai",77388 11288,dr.aakash03@gmail.com,"51-1, JP Nagar, Behind Dakshata Poloce Society, Ramabai Colony, Ghatkopar
Mumbai
Maharashtra
400075",Maharashtra,
245,"Help (A Crises Centre), Mumbai",,rinkib@bom3.vsnl.net.in,"Gold Mist, 36 Carter Road
BAndhra, Mumbai",Maharashtra,
246,"Help a Child, Mumbai",,amrita@somaiya.com,"C/o GSM, Fazalbhoy Building, MG Road
Mumbai",Maharashtra,
247,"Help Age India, Mumbai",,helpage@bom3.vsnl.net.in,"34A-44 Gurughayya Building, Manish Nagar, Andheri West
Mumbai",Maharashtra,
248,"Helping Hand Charitable Trust, Mumbai",98209 76483,hhct11@gmail.com,"A/303, Charkop Deep Chs, 14 Sector, 8, Charkop Kandiwali
Mumbai
Maharashtra
400067",Maharashtra,
249,"Helping Hand Foundation, Mumbai",99879 23843,hhfngo2011@gmail.com,"302, Ganesh Society, 02 Chsl, Uttan Navghar Church Rd
Mumbai
Maharashtra
401106",Maharashtra,
250,"Hitech Family Enrichment Foundation, Mumbai",91-98211 59337,hitechforthespecialchildren@yahoo.com,"A 13, Mangal Prabha Apartments, N P Thakker Marg, Vile Parle
Mumbai",Maharashtra,
251,"Hum Trust, Mumbai",91-92212 77108,humtrust@gmail.com,"Sector A, Lane J1/06
Mumbai",Maharashtra,
252,"Human Welfare Charitable Trust, Mumbai",98197 56020,info@human-welfare.org,"3, Rajendra Ratna, Mahesh Nagar, Sv Road, Goregaon West
Mumbai
Maharashtra
400062",Maharashtra,
253,"Hyatt Care, Mumbai",,karimlabbai@gmail.com,"G-B-9, Cheeta Camp
Mumbai",Maharashtra,
254,"ICARE, Mumbai",91-99679 77991,icare@socialworker.net,"401, Giri Residency, Opp. Goenka Hall, J.B. Nagar
Mumbai",Maharashtra,
255,"ICMH – Indian Council for Mental Health, Mumbai",,icmh11@gmail.com,"UPM School Building, 1st Khetwadi lane
Mumbai",Maharashtra,
256,"IFFSA – International Forum for Social Action, Navi Mumbai",,iffsaa@gmail.com,"H 16, Samta Co-Op HSG Society, Sector 4, Sanpada
Navi Mumbai",Maharashtra,
257,"ILMA – International Leadership & Management Alliance, Mumbai",,hgolandaz@gmail.com,"34, Parijat, Vishnu Baug
Mumbai",Maharashtra,
258,"Impact India Foundation, Mumbai",,impactindia@bol.net.in,"65, Maharshi Karve Road, Nhava House (First Floor), Marine Lines
Mumbai",Maharashtra,
259,"India Sponsorship Committee, Mumbai",,isc@bom7.vsnl.net.in,"Mathuradas Estate Building, 43-45 Colaba Causeway
Mumbai",Maharashtra,
260,"Indian Association for Promotion of Adoption & Child Welfare, Mumbai",,iapa@vsnl.net,"Flat? 7, Kanara Brotherhood Co-op Housing Society, Mogul Lane, Matunga (West)
Mumbai",Maharashtra,
261,"Indian Development Foundation, Mumbai",91-98191 31388,idfvolunteers.mumbai@gmail.com,"L 10/3 & 4, Jal Ratan Deep, Bangur Nagar, Goregaon (West)
Mumbai",Maharashtra,
262,"Indian Health Organisation, Mumbai",,ihoaids@bom3.vsnl.net.in,"Municipal School Building, JJ Hospital Compound
Mumbai",Maharashtra,
263,"Indicus Public Trust, Mumbai",91-99679 40199,naresh_s2000@hotmail.com,"D-15, Office 7, Municipal Colony, Road 2, ParkSite, Vikhroli (W)
Mumbai",Maharashtra,
264,"Initiatives- Women in Development, Mumbai",,kranti@bom5.vsnl.net.in,"A-102 Vasant View, Dmonte Lane, Orlem Malan West
Mumbai",Maharashtra,
265,"Institute for Exceptional Children, Mumbai",,,"2nd Floor, Rooms 35 – 38, Topiwalla Lane Muncipal School, Opp Bhadamkar Marg
Mumbai",Maharashtra,
